instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,timestamp,season_label,weather_label,weekday_label,temp_c,feels_like_c,humidity_pct,windspeed_scaled,cnt_iqr_high
4119,2011-06-25,3,0,6,12,0,6,0,1,0.74,0.6515,0.4,0.2836,140,252,392,2011-06-25 12:00:00,fall,clear_or_partly_cloudy,saturday,30.34,32.574999999999996,40.0,19.0012,False
4120,2011-06-25,3,0,6,13,0,6,0,1,0.74,0.6515,0.4,0.2836,140,231,371,2011-06-25 13:00:00,fall,clear_or_partly_cloudy,saturday,30.34,32.574999999999996,40.0,19.0012,False
4121,2011-06-25,3,0,6,14,0,6,0,1,0.74,0.6667,0.45,0.2985,151,232,383,2011-06-25 14:00:00,fall,clear_or_partly_cloudy,saturday,30.34,33.335,45.0,19.999499999999998,False
4122,2011-06-25,3,0,6,15,0,6,0,1,0.74,0.6667,0.45,0.0,157,235,392,2011-06-25 15:00:00,fall,clear_or_partly_cloudy,saturday,30.34,33.335,45.0,0.0,False
4123,2011-06-25,3,0,6,16,0,6,0,1,0.76,0.6818,0.43,0.2985,175,235,410,2011-06-25 16:00:00,fall,clear_or_partly_cloudy,saturday,31.16,34.089999999999996,43.0,19.999499999999998,False
4124,2011-06-25,3,0,6,17,0,6,0,1,0.74,0.6667,0.42,0.2239,152,247,399,2011-06-25 17:00:00,fall,clear_or_partly_cloudy,saturday,30.34,33.335,42.0,15.001299999999999,False
4125,2011-06-25,3,0,6,18,0,6,0,1,0.72,0.6515,0.45,0.2537,108,199,307,2011-06-25 18:00:00,fall,clear_or_partly_cloudy,saturday,29.52,32.574999999999996,45.0,16.997899999999998,False
4126,2011-06-25,3,0,6,19,0,6,0,1,0.72,0.6667,0.48,0.2836,121,254,375,2011-06-25 19:00:00,fall,clear_or_partly_cloudy,saturday,29.52,33.335,48.0,19.0012,False
4127,2011-06-25,3,0,6,20,0,6,0,1,0.7,0.6515,0.48,0.194,74,195,269,2011-06-25 20:00:00,fall,clear_or_partly_cloudy,saturday,28.7,32.574999999999996,48.0,12.998000000000001,False
4128,2011-06-25,3,0,6,21,0,6,0,1,0.68,0.6364,0.51,0.1642,62,140,202,2011-06-25 21:00:00,fall,clear_or_partly_cloudy,saturday,27.880000000000003,31.819999999999997,51.0,11.0014,False
4129,2011-06-25,3,0,6,22,0,6,0,1,0.68,0.6364,0.47,0.194,61,126,187,2011-06-25 22:00:00,fall,clear_or_partly_cloudy,saturday,27.880000000000003,31.819999999999997,47.0,12.998000000000001,False
4130,2011-06-25,3,0,6,23,0,6,0,2,0.66,0.6212,0.5,0.2985,49,130,179,2011-06-25 23:00:00,fall,mist_or_cloudy,saturday,27.060000000000002,31.06,50.0,19.999499999999998,False
4131,2011-06-26,3,0,6,0,0,0,0,1,0.64,0.6212,0.53,0.0,30,85,115,2011-06-26 00:00:00,fall,clear_or_partly_cloudy,sunday,26.240000000000002,31.06,53.0,0.0,False
4132,2011-06-26,3,0,6,1,0,0,0,1,0.64,0.6212,0.53,0.1045,17,73,90,2011-06-26 01:00:00,fall,clear_or_partly_cloudy,sunday,26.240000000000002,31.06,53.0,7.0015,False
4133,2011-06-26,3,0,6,2,0,0,0,1,0.62,0.6212,0.57,0.1045,17,70,87,2011-06-26 02:00:00,fall,clear_or_partly_cloudy,sunday,25.419999999999998,31.06,56.99999999999999,7.0015,False
4134,2011-06-26,3,0,6,3,0,0,0,1,0.6,0.6061,0.64,0.1045,12,22,34,2011-06-26 03:00:00,fall,clear_or_partly_cloudy,sunday,24.599999999999998,30.305,64.0,7.0015,False
4135,2011-06-26,3,0,6,4,0,0,0,1,0.6,0.6061,0.64,0.0896,3,8,11,2011-06-26 04:00:00,fall,clear_or_partly_cloudy,sunday,24.599999999999998,30.305,64.0,6.0032,False
4136,2011-06-26,3,0,6,5,0,0,0,1,0.6,0.6061,0.64,0.0,3,9,12,2011-06-26 05:00:00,fall,clear_or_partly_cloudy,sunday,24.599999999999998,30.305,64.0,0.0,False
4137,2011-06-26,3,0,6,6,0,0,0,1,0.6,0.6061,0.64,0.0,7,13,20,2011-06-26 06:00:00,fall,clear_or_partly_cloudy,sunday,24.599999999999998,30.305,64.0,0.0,False
4138,2011-06-26,3,0,6,7,0,0,0,1,0.62,0.6061,0.61,0.0,24,27,51,2011-06-26 07:00:00,fall,clear_or_partly_cloudy,sunday,25.419999999999998,30.305,61.0,0.0,False
4139,2011-06-26,3,0,6,8,0,0,0,1,0.64,0.6212,0.61,0.194,29,78,107,2011-06-26 08:00:00,fall,clear_or_partly_cloudy,sunday,26.240000000000002,31.06,61.0,12.998000000000001,False
4140,2011-06-26,3,0,6,9,0,0,0,1,0.66,0.6212,0.54,0.0896,75,131,206,2011-06-26 09:00:00,fall,clear_or_partly_cloudy,sunday,27.060000000000002,31.06,54.0,6.0032,False
4141,2011-06-26,3,0,6,10,0,0,0,1,0.72,0.6667,0.48,0.1045,136,196,332,2011-06-26 10:00:00,fall,clear_or_partly_cloudy,sunday,29.52,33.335,48.0,7.0015,False
4142,2011-06-26,3,0,6,11,0,0,0,1,0.72,0.6515,0.45,0.1343,127,219,346,2011-06-26 11:00:00,fall,clear_or_partly_cloudy,sunday,29.52,32.574999999999996,45.0,8.9981,False
4143,2011-06-26,3,0,6,12,0,0,0,1,0.74,0.6515,0.4,0.1642,175,268,443,2011-06-26 12:00:00,fall,clear_or_partly_cloudy,sunday,30.34,32.574999999999996,40.0,11.0014,False
4144,2011-06-26,3,0,6,13,0,0,0,1,0.74,0.6515,0.4,0.0,197,245,442,2011-06-26 13:00:00,fall,clear_or_partly_cloudy,sunday,30.34,32.574999999999996,40.0,0.0,False
4145,2011-06-26,3,0,6,14,0,0,0,1,0.74,0.6515,0.4,0.1343,197,246,443,2011-06-26 14:00:00,fall,clear_or_partly_cloudy,sunday,30.34,32.574999999999996,40.0,8.9981,False
4146,2011-06-26,3,0,6,15,0,0,0,1,0.74,0.6515,0.4,0.0,174,229,403,2011-06-26 15:00:00,fall,clear_or_partly_cloudy,sunday,30.34,32.574999999999996,40.0,0.0,False
4147,2011-06-26,3,0,6,16,0,0,0,1,0.74,0.6667,0.42,0.194,177,278,455,2011-06-26 16:00:00,fall,clear_or_partly_cloudy,sunday,30.34,33.335,42.0,12.998000000000001,False
4148,2011-06-26,3,0,6,17,0,0,0,2,0.72,0.6515,0.42,0.1642,178,243,421,2011-06-26 17:00:00,fall,mist_or_cloudy,sunday,29.52,32.574999999999996,42.0,11.0014,False
4149,2011-06-26,3,0,6,18,0,0,0,2,0.72,0.6515,0.45,0.2537,117,265,382,2011-06-26 18:00:00,fall,mist_or_cloudy,sunday,29.52,32.574999999999996,45.0,16.997899999999998,False
4150,2011-06-26,3,0,6,19,0,0,0,2,0.72,0.6667,0.48,0.1343,89,228,317,2011-06-26 19:00:00,fall,mist_or_cloudy,sunday,29.52,33.335,48.0,8.9981,False
4151,2011-06-26,3,0,6,20,0,0,0,2,0.7,0.6515,0.48,0.1045,55,158,213,2011-06-26 20:00:00,fall,mist_or_cloudy,sunday,28.7,32.574999999999996,48.0,7.0015,False
4152,2011-06-26,3,0,6,21,0,0,0,2,0.7,0.6515,0.54,0.1045,48,135,183,2011-06-26 21:00:00,fall,mist_or_cloudy,sunday,28.7,32.574999999999996,54.0,7.0015,False
4153,2011-06-26,3,0,6,22,0,0,0,1,0.7,0.6515,0.51,0.0,19,95,114,2011-06-26 22:00:00,fall,clear_or_partly_cloudy,sunday,28.7,32.574999999999996,51.0,0.0,False
4154,2011-06-26,3,0,6,23,0,0,0,1,0.7,0.6515,0.54,0.0896,14,64,78,2011-06-26 23:00:00,fall,clear_or_partly_cloudy,sunday,28.7,32.574999999999996,54.0,6.0032,False
4155,2011-06-27,3,0,6,0,0,1,1,3,0.64,0.6061,0.73,0.2836,7,25,32,2011-06-27 00:00:00,fall,light_rain_or_snow,monday,26.240000000000002,30.305,73.0,19.0012,False
4156,2011-06-27,3,0,6,1,0,1,1,2,0.62,0.5909,0.78,0.1343,4,11,15,2011-06-27 01:00:00,fall,mist_or_cloudy,monday,25.419999999999998,29.544999999999998,78.0,8.9981,False
4157,2011-06-27,3,0,6,2,0,1,1,3,0.62,0.5909,0.78,0.1343,3,3,6,2011-06-27 02:00:00,fall,light_rain_or_snow,monday,25.419999999999998,29.544999999999998,78.0,8.9981,False
4158,2011-06-27,3,0,6,3,0,1,1,3,0.62,0.5909,0.78,0.1343,0,2,2,2011-06-27 03:00:00,fall,light_rain_or_snow,monday,25.419999999999998,29.544999999999998,78.0,8.9981,False
4159,2011-06-27,3,0,6,4,0,1,1,2,0.6,0.5606,0.83,0.1642,1,8,9,2011-06-27 04:00:00,fall,mist_or_cloudy,monday,24.599999999999998,28.03,83.0,11.0014,False
4160,2011-06-27,3,0,6,5,0,1,1,2,0.62,0.5758,0.83,0.1642,1,21,22,2011-06-27 05:00:00,fall,mist_or_cloudy,monday,25.419999999999998,28.79,83.0,11.0014,False
4161,2011-06-27,3,0,6,6,0,1,1,2,0.62,0.5909,0.78,0.1642,4,90,94,2011-06-27 06:00:00,fall,mist_or_cloudy,monday,25.419999999999998,29.544999999999998,78.0,11.0014,False
4162,2011-06-27,3,0,6,7,0,1,1,2,0.64,0.6061,0.73,0.2239,14,247,261,2011-06-27 07:00:00,fall,mist_or_cloudy,monday,26.240000000000002,30.305,73.0,15.001299999999999,False
4163,2011-06-27,3,0,6,8,0,1,1,1,0.66,0.6212,0.74,0.194,29,418,447,2011-06-27 08:00:00,fall,clear_or_partly_cloudy,monday,27.060000000000002,31.06,74.0,12.998000000000001,False
4164,2011-06-27,3,0,6,9,0,1,1,2,0.72,0.6667,0.54,0.0,37,150,187,2011-06-27 09:00:00,fall,mist_or_cloudy,monday,29.52,33.335,54.0,0.0,False
4165,2011-06-27,3,0,6,10,0,1,1,2,0.72,0.6667,0.54,0.1343,55,95,150,2011-06-27 10:00:00,fall,mist_or_cloudy,monday,29.52,33.335,54.0,8.9981,False
4166,2011-06-27,3,0,6,11,0,1,1,2,0.7,0.6515,0.58,0.0,55,95,150,2011-06-27 11:00:00,fall,mist_or_cloudy,monday,28.7,32.574999999999996,57.99999999999999,0.0,False
4167,2011-06-27,3,0,6,12,0,1,1,2,0.72,0.6667,0.54,0.0,40,130,170,2011-06-27 12:00:00,fall,mist_or_cloudy,monday,29.52,33.335,54.0,0.0,False
4168,2011-06-27,3,0,6,13,0,1,1,2,0.72,0.6667,0.58,0.2239,37,127,164,2011-06-27 13:00:00,fall,mist_or_cloudy,monday,29.52,33.335,57.99999999999999,15.001299999999999,False
4169,2011-06-27,3,0,6,14,0,1,1,2,0.72,0.6667,0.58,0.0896,58,100,158,2011-06-27 14:00:00,fall,mist_or_cloudy,monday,29.52,33.335,57.99999999999999,6.0032,False
4170,2011-06-27,3,0,6,15,0,1,1,2,0.74,0.6818,0.55,0.0,76,126,202,2011-06-27 15:00:00,fall,mist_or_cloudy,monday,30.34,34.089999999999996,55.00000000000001,0.0,False
4171,2011-06-27,3,0,6,16,0,1,1,1,0.74,0.6818,0.55,0.1045,53,222,275,2011-06-27 16:00:00,fall,clear_or_partly_cloudy,monday,30.34,34.089999999999996,55.00000000000001,7.0015,False
4172,2011-06-27,3,0,6,17,0,1,1,1,0.74,0.6818,0.55,0.1343,90,514,604,2011-06-27 17:00:00,fall,clear_or_partly_cloudy,monday,30.34,34.089999999999996,55.00000000000001,8.9981,False
4173,2011-06-27,3,0,6,18,0,1,1,1,0.74,0.6667,0.51,0.0,79,512,591,2011-06-27 18:00:00,fall,clear_or_partly_cloudy,monday,30.34,33.335,51.0,0.0,False
4174,2011-06-27,3,0,6,19,0,1,1,1,0.72,0.6818,0.62,0.194,56,340,396,2011-06-27 19:00:00,fall,clear_or_partly_cloudy,monday,29.52,34.089999999999996,62.0,12.998000000000001,False
4175,2011-06-27,3,0,6,20,0,1,1,1,0.7,0.6515,0.65,0.1045,54,251,305,2011-06-27 20:00:00,fall,clear_or_partly_cloudy,monday,28.7,32.574999999999996,65.0,7.0015,False
4176,2011-06-27,3,0,6,21,0,1,1,1,0.7,0.6515,0.65,0.0,52,190,242,2011-06-27 21:00:00,fall,clear_or_partly_cloudy,monday,28.7,32.574999999999996,65.0,0.0,False
4177,2011-06-27,3,0,6,22,0,1,1,1,0.68,0.6364,0.69,0.0,33,112,145,2011-06-27 22:00:00,fall,clear_or_partly_cloudy,monday,27.880000000000003,31.819999999999997,69.0,0.0,False
4178,2011-06-27,3,0,6,23,0,1,1,1,0.68,0.6364,0.69,0.0,16,65,81,2011-06-27 23:00:00,fall,clear_or_partly_cloudy,monday,27.880000000000003,31.819999999999997,69.0,0.0,False
4179,2011-06-28,3,0,6,0,0,2,1,2,0.66,0.6061,0.78,0.1343,5,25,30,2011-06-28 00:00:00,fall,mist_or_cloudy,tuesday,27.060000000000002,30.305,78.0,8.9981,False
4180,2011-06-28,3,0,6,1,0,2,1,1,0.66,0.6212,0.74,0.0,5,8,13,2011-06-28 01:00:00,fall,clear_or_partly_cloudy,tuesday,27.060000000000002,31.06,74.0,0.0,False
4181,2011-06-28,3,0,6,2,0,2,1,2,0.66,0.6212,0.74,0.0,2,9,11,2011-06-28 02:00:00,fall,mist_or_cloudy,tuesday,27.060000000000002,31.06,74.0,0.0,False
4182,2011-06-28,3,0,6,3,0,2,1,2,0.66,0.6212,0.74,0.0,0,2,2,2011-06-28 03:00:00,fall,mist_or_cloudy,tuesday,27.060000000000002,31.06,74.0,0.0,False
4183,2011-06-28,3,0,6,4,0,2,1,1,0.66,0.6212,0.74,0.0,1,7,8,2011-06-28 04:00:00,fall,clear_or_partly_cloudy,tuesday,27.060000000000002,31.06,74.0,0.0,False
4184,2011-06-28,3,0,6,5,0,2,1,1,0.66,0.6061,0.78,0.0,1,20,21,2011-06-28 05:00:00,fall,clear_or_partly_cloudy,tuesday,27.060000000000002,30.305,78.0,0.0,False
4185,2011-06-28,3,0,6,6,0,2,1,1,0.66,0.6061,0.83,0.1642,7,117,124,2011-06-28 06:00:00,fall,clear_or_partly_cloudy,tuesday,27.060000000000002,30.305,83.0,11.0014,False
4186,2011-06-28,3,0,6,7,0,2,1,1,0.68,0.6364,0.83,0.194,27,320,347,2011-06-28 07:00:00,fall,clear_or_partly_cloudy,tuesday,27.880000000000003,31.819999999999997,83.0,12.998000000000001,False
4187,2011-06-28,3,0,6,8,0,2,1,1,0.7,0.6667,0.79,0.1642,39,417,456,2011-06-28 08:00:00,fall,clear_or_partly_cloudy,tuesday,28.7,33.335,79.0,11.0014,False
4188,2011-06-28,3,0,6,9,0,2,1,1,0.74,0.697,0.7,0.0,38,208,246,2011-06-28 09:00:00,fall,clear_or_partly_cloudy,tuesday,30.34,34.849999999999994,70.0,0.0,False
4189,2011-06-28,3,0,6,10,0,2,1,1,0.8,0.7424,0.49,0.1642,45,112,157,2011-06-28 10:00:00,fall,clear_or_partly_cloudy,tuesday,32.800000000000004,37.12,49.0,11.0014,False
4190,2011-06-28,3,0,6,11,0,2,1,1,0.82,0.7576,0.46,0.0,49,118,167,2011-06-28 11:00:00,fall,clear_or_partly_cloudy,tuesday,33.62,37.88,46.0,0.0,False
4191,2011-06-28,3,0,6,12,0,2,1,1,0.84,0.7727,0.47,0.2239,41,161,202,2011-06-28 12:00:00,fall,clear_or_partly_cloudy,tuesday,34.44,38.635000000000005,47.0,15.001299999999999,False
4192,2011-06-28,3,0,6,13,0,2,1,1,0.84,0.7576,0.44,0.0,33,156,189,2011-06-28 13:00:00,fall,clear_or_partly_cloudy,tuesday,34.44,37.88,44.0,0.0,False
4193,2011-06-28,3,0,6,14,0,2,1,1,0.86,0.7879,0.44,0.2239,43,117,160,2011-06-28 14:00:00,fall,clear_or_partly_cloudy,tuesday,35.26,39.395,44.0,15.001299999999999,False
4194,2011-06-28,3,0,6,15,0,2,1,1,0.86,0.7879,0.41,0.0,39,127,166,2011-06-28 15:00:00,fall,clear_or_partly_cloudy,tuesday,35.26,39.395,41.0,0.0,False
4195,2011-06-28,3,0,6,16,0,2,1,1,0.86,0.803,0.47,0.2836,41,220,261,2011-06-28 16:00:00,fall,clear_or_partly_cloudy,tuesday,35.26,40.150000000000006,47.0,19.0012,False
4196,2011-06-28,3,0,6,17,0,2,1,3,0.82,0.7879,0.56,0.2836,70,509,579,2011-06-28 17:00:00,fall,light_rain_or_snow,tuesday,33.62,39.395,56.00000000000001,19.0012,False
4197,2011-06-28,3,0,6,18,0,2,1,3,0.8,0.7576,0.55,0.2985,68,436,504,2011-06-28 18:00:00,fall,light_rain_or_snow,tuesday,32.800000000000004,37.88,55.00000000000001,19.999499999999998,False
4198,2011-06-28,3,0,6,19,0,2,1,2,0.74,0.6818,0.58,0.4627,44,255,299,2011-06-28 19:00:00,fall,mist_or_cloudy,tuesday,30.34,34.089999999999996,57.99999999999999,31.0009,False
4199,2011-06-28,3,0,6,20,0,2,1,1,0.74,0.6818,0.62,0.0,50,246,296,2011-06-28 20:00:00,fall,clear_or_partly_cloudy,tuesday,30.34,34.089999999999996,62.0,0.0,False
4200,2011-06-28,3,0,6,21,0,2,1,1,0.74,0.697,0.66,0.2836,31,164,195,2011-06-28 21:00:00,fall,clear_or_partly_cloudy,tuesday,30.34,34.849999999999994,66.0,19.0012,False
4201,2011-06-28,3,0,6,22,0,2,1,1,0.7,0.6515,0.7,0.2985,30,104,134,2011-06-28 22:00:00,fall,clear_or_partly_cloudy,tuesday,28.7,32.574999999999996,70.0,19.999499999999998,False
4202,2011-06-28,3,0,6,23,0,2,1,1,0.7,0.6515,0.7,0.2836,23,58,81,2011-06-28 23:00:00,fall,clear_or_partly_cloudy,tuesday,28.7,32.574999999999996,70.0,19.0012,False
4203,2011-06-29,3,0,6,0,0,3,1,2,0.68,0.6364,0.79,0.2836,11,25,36,2011-06-29 00:00:00,fall,mist_or_cloudy,wednesday,27.880000000000003,31.819999999999997,79.0,19.0012,False
4204,2011-06-29,3,0,6,1,0,3,1,1,0.68,0.6364,0.79,0.2985,10,18,28,2011-06-29 01:00:00,fall,clear_or_partly_cloudy,wednesday,27.880000000000003,31.819999999999997,79.0,19.999499999999998,False
4205,2011-06-29,3,0,6,2,0,3,1,1,0.66,0.6061,0.83,0.2239,7,9,16,2011-06-29 02:00:00,fall,clear_or_partly_cloudy,wednesday,27.060000000000002,30.305,83.0,15.001299999999999,False
4206,2011-06-29,3,0,6,3,0,3,1,2,0.66,0.6061,0.83,0.1045,2,3,5,2011-06-29 03:00:00,fall,mist_or_cloudy,wednesday,27.060000000000002,30.305,83.0,7.0015,False
4207,2011-06-29,3,0,6,4,0,3,1,1,0.66,0.6061,0.83,0.1045,0,5,5,2011-06-29 04:00:00,fall,clear_or_partly_cloudy,wednesday,27.060000000000002,30.305,83.0,7.0015,False
4208,2011-06-29,3,0,6,5,0,3,1,1,0.64,0.5758,0.83,0.194,3,19,22,2011-06-29 05:00:00,fall,clear_or_partly_cloudy,wednesday,26.240000000000002,28.79,83.0,12.998000000000001,False
4209,2011-06-29,3,0,6,6,0,3,1,1,0.66,0.6212,0.69,0.2985,12,104,116,2011-06-29 06:00:00,fall,clear_or_partly_cloudy,wednesday,27.060000000000002,31.06,69.0,19.999499999999998,False
4210,2011-06-29,3,0,6,7,0,3,1,1,0.7,0.6515,0.54,0.2239,18,318,336,2011-06-29 07:00:00,fall,clear_or_partly_cloudy,wednesday,28.7,32.574999999999996,54.0,15.001299999999999,False
4211,2011-06-29,3,0,6,8,0,3,1,1,0.7,0.6515,0.48,0.2836,41,499,540,2011-06-29 08:00:00,fall,clear_or_partly_cloudy,wednesday,28.7,32.574999999999996,48.0,19.0012,False
4212,2011-06-29,3,0,6,9,0,3,1,1,0.72,0.6515,0.45,0.3881,32,189,221,2011-06-29 09:00:00,fall,clear_or_partly_cloudy,wednesday,29.52,32.574999999999996,45.0,26.0027,False
4213,2011-06-29,3,0,6,10,0,3,1,1,0.74,0.6667,0.42,0.2836,31,95,126,2011-06-29 10:00:00,fall,clear_or_partly_cloudy,wednesday,30.34,33.335,42.0,19.0012,False
4214,2011-06-29,3,0,6,11,0,3,1,1,0.76,0.6667,0.35,0.2239,53,117,170,2011-06-29 11:00:00,fall,clear_or_partly_cloudy,wednesday,31.16,33.335,35.0,15.001299999999999,False
4215,2011-06-29,3,0,6,12,0,3,1,1,0.76,0.6667,0.35,0.2537,55,188,243,2011-06-29 12:00:00,fall,clear_or_partly_cloudy,wednesday,31.16,33.335,35.0,16.997899999999998,False
4216,2011-06-29,3,0,6,13,0,3,1,1,0.8,0.697,0.31,0.3284,45,186,231,2011-06-29 13:00:00,fall,clear_or_partly_cloudy,wednesday,32.800000000000004,34.849999999999994,31.0,22.0028,False
4217,2011-06-29,3,0,6,14,0,3,1,1,0.8,0.697,0.31,0.194,50,138,188,2011-06-29 14:00:00,fall,clear_or_partly_cloudy,wednesday,32.800000000000004,34.849999999999994,31.0,12.998000000000001,False
4218,2011-06-29,3,0,6,15,0,3,1,1,0.82,0.7121,0.3,0.1642,43,146,189,2011-06-29 15:00:00,fall,clear_or_partly_cloudy,wednesday,33.62,35.605,30.0,11.0014,False
4219,2011-06-29,3,0,6,16,0,3,1,1,0.82,0.7121,0.3,0.4179,60,268,328,2011-06-29 16:00:00,fall,clear_or_partly_cloudy,wednesday,33.62,35.605,30.0,27.999299999999998,False
4220,2011-06-29,3,0,6,17,0,3,1,1,0.82,0.7121,0.26,0.4179,78,492,570,2011-06-29 17:00:00,fall,clear_or_partly_cloudy,wednesday,33.62,35.605,26.0,27.999299999999998,False
4221,2011-06-29,3,0,6,18,0,3,1,1,0.8,0.697,0.29,0.2985,78,510,588,2011-06-29 18:00:00,fall,clear_or_partly_cloudy,wednesday,32.800000000000004,34.849999999999994,28.999999999999996,19.999499999999998,False
4222,2011-06-29,3,0,6,19,0,3,1,1,0.76,0.6667,0.35,0.3881,60,341,401,2011-06-29 19:00:00,fall,clear_or_partly_cloudy,wednesday,31.16,33.335,35.0,26.0027,False
4223,2011-06-29,3,0,6,20,0,3,1,1,0.74,0.6515,0.37,0.2985,69,264,333,2011-06-29 20:00:00,fall,clear_or_partly_cloudy,wednesday,30.34,32.574999999999996,37.0,19.999499999999998,False
4224,2011-06-29,3,0,6,21,0,3,1,1,0.72,0.6515,0.39,0.2239,26,195,221,2011-06-29 21:00:00,fall,clear_or_partly_cloudy,wednesday,29.52,32.574999999999996,39.0,15.001299999999999,False
4225,2011-06-29,3,0,6,22,0,3,1,1,0.7,0.6364,0.42,0.194,32,151,183,2011-06-29 22:00:00,fall,clear_or_partly_cloudy,wednesday,28.7,31.819999999999997,42.0,12.998000000000001,False
4226,2011-06-29,3,0,6,23,0,3,1,1,0.68,0.6364,0.47,0.194,32,97,129,2011-06-29 23:00:00,fall,clear_or_partly_cloudy,wednesday,27.880000000000003,31.819999999999997,47.0,12.998000000000001,False
4227,2011-06-30,3,0,6,0,0,4,1,1,0.66,0.6212,0.5,0.1642,15,39,54,2011-06-30 00:00:00,fall,clear_or_partly_cloudy,thursday,27.060000000000002,31.06,50.0,11.0014,False
4228,2011-06-30,3,0,6,1,0,4,1,1,0.64,0.6212,0.53,0.1343,13,19,32,2011-06-30 01:00:00,fall,clear_or_partly_cloudy,thursday,26.240000000000002,31.06,53.0,8.9981,False
4229,2011-06-30,3,0,6,2,0,4,1,1,0.62,0.6212,0.57,0.1343,2,6,8,2011-06-30 02:00:00,fall,clear_or_partly_cloudy,thursday,25.419999999999998,31.06,56.99999999999999,8.9981,False
4230,2011-06-30,3,0,6,3,0,4,1,1,0.6,0.6061,0.6,0.1642,2,7,9,2011-06-30 03:00:00,fall,clear_or_partly_cloudy,thursday,24.599999999999998,30.305,60.0,11.0014,False
4231,2011-06-30,3,0,6,4,0,4,1,1,0.58,0.5455,0.64,0.1343,2,4,6,2011-06-30 04:00:00,fall,clear_or_partly_cloudy,thursday,23.779999999999998,27.275,64.0,8.9981,False
4232,2011-06-30,3,0,6,5,0,4,1,1,0.58,0.5455,0.64,0.2537,1,24,25,2011-06-30 05:00:00,fall,clear_or_partly_cloudy,thursday,23.779999999999998,27.275,64.0,16.997899999999998,False
4233,2011-06-30,3,0,6,6,0,4,1,1,0.6,0.6061,0.64,0.2537,4,119,123,2011-06-30 06:00:00,fall,clear_or_partly_cloudy,thursday,24.599999999999998,30.305,64.0,16.997899999999998,False
4234,2011-06-30,3,0,6,7,0,4,1,1,0.62,0.6061,0.61,0.2239,29,291,320,2011-06-30 07:00:00,fall,clear_or_partly_cloudy,thursday,25.419999999999998,30.305,61.0,15.001299999999999,False
4235,2011-06-30,3,0,6,8,0,4,1,1,0.68,0.6364,0.47,0.2239,44,511,555,2011-06-30 08:00:00,fall,clear_or_partly_cloudy,thursday,27.880000000000003,31.819999999999997,47.0,15.001299999999999,False
4236,2011-06-30,3,0,6,9,0,4,1,1,0.7,0.6364,0.42,0.2239,33,227,260,2011-06-30 09:00:00,fall,clear_or_partly_cloudy,thursday,28.7,31.819999999999997,42.0,15.001299999999999,False
4237,2011-06-30,3,0,6,10,0,4,1,1,0.72,0.6515,0.42,0.194,35,97,132,2011-06-30 10:00:00,fall,clear_or_partly_cloudy,thursday,29.52,32.574999999999996,42.0,12.998000000000001,False
4238,2011-06-30,3,0,6,11,0,4,1,1,0.74,0.6515,0.37,0.1343,47,122,169,2011-06-30 11:00:00,fall,clear_or_partly_cloudy,thursday,30.34,32.574999999999996,37.0,8.9981,False
4239,2011-06-30,3,0,6,12,0,4,1,1,0.76,0.6667,0.35,0.1642,50,183,233,2011-06-30 12:00:00,fall,clear_or_partly_cloudy,thursday,31.16,33.335,35.0,11.0014,False
4240,2011-06-30,3,0,6,13,0,4,1,1,0.76,0.6667,0.33,0.194,70,162,232,2011-06-30 13:00:00,fall,clear_or_partly_cloudy,thursday,31.16,33.335,33.0,12.998000000000001,False
4241,2011-06-30,3,0,6,14,0,4,1,1,0.78,0.6818,0.31,0.194,46,117,163,2011-06-30 14:00:00,fall,clear_or_partly_cloudy,thursday,31.98,34.089999999999996,31.0,12.998000000000001,False
4242,2011-06-30,3,0,6,15,0,4,1,1,0.78,0.6667,0.25,0.2537,64,176,240,2011-06-30 15:00:00,fall,clear_or_partly_cloudy,thursday,31.98,33.335,25.0,16.997899999999998,False
4243,2011-06-30,3,0,6,16,0,4,1,1,0.8,0.697,0.26,0.1343,63,260,323,2011-06-30 16:00:00,fall,clear_or_partly_cloudy,thursday,32.800000000000004,34.849999999999994,26.0,8.9981,False
4244,2011-06-30,3,0,6,17,0,4,1,1,0.78,0.6818,0.27,0.3582,98,496,594,2011-06-30 17:00:00,fall,clear_or_partly_cloudy,thursday,31.98,34.089999999999996,27.0,23.9994,False
4245,2011-06-30,3,0,6,18,0,4,1,1,0.76,0.6667,0.29,0.2537,114,472,586,2011-06-30 18:00:00,fall,clear_or_partly_cloudy,thursday,31.16,33.335,28.999999999999996,16.997899999999998,False
4246,2011-06-30,3,0,6,19,0,4,1,1,0.74,0.6515,0.33,0.194,89,366,455,2011-06-30 19:00:00,fall,clear_or_partly_cloudy,thursday,30.34,32.574999999999996,33.0,12.998000000000001,False
4247,2011-06-30,3,0,6,20,0,4,1,1,0.74,0.6515,0.33,0.194,55,285,340,2011-06-30 20:00:00,fall,clear_or_partly_cloudy,thursday,30.34,32.574999999999996,33.0,12.998000000000001,False
4248,2011-06-30,3,0,6,21,0,4,1,1,0.72,0.6515,0.37,0.1045,81,242,323,2011-06-30 21:00:00,fall,clear_or_partly_cloudy,thursday,29.52,32.574999999999996,37.0,7.0015,False
